Price,Close,High,Low,Open,Volume,Ticker
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,
Date,,,,,,
2020-01-01,633.151123046875,635.857836165516,629.456283947449,631.5614994346679,2112415,INFY.NS
2020-01-02,631.3037109375,636.5452206149837,628.0385056083046,634.9126441731436,5658200,INFY.NS
2020-01-03,641.013427734375,642.7319623931803,630.6163140268093,630.6163140268093,7882938,INFY.NS
2020-01-06,634.86962890625,647.7156856371781,632.8503717126638,641.0993168830549,6519403,INFY.NS
2020-01-07,625.4608154296875,638.0920053436301,623.0548245455798,634.1393959406382,7899363,INFY.NS
2020-01-08,617.125732421875,626.4058079768749,608.6189659032445,622.9257861994387,8639443,INFY.NS
2020-01-09,625.1599731445312,628.5540897917724,613.7746803355894,620.1332799391682,13521186,INFY.NS
2020-01-10,634.2681884765625,638.3497082159341,627.6947725496843,636.244492808629,9341405,INFY.NS
2020-01-13,664.6862182617188,668.0803346309402,648.7468201239355,653.0431566810477,36952038,INFY.NS
2020-01-14,666.4907836914062,667.607820828844,659.2299636297804,661.5929489936188,11414418,INFY.NS
2020-01-15,659.5306396484375,664.944013428589,654.8906274563863,664.944013428589,6047430,INFY.NS
2020-01-16,659.0579223632812,663.7838918196021,653.2578689396148,662.2372213957256,5740586,INFY.NS
2020-01-17,659.7885131835938,664.1278559116711,654.9766362764015,662.2374569675866,3762957,INFY.NS
2020-01-20,660.3040161132812,665.416667416314,655.5780456130107,663.0106768415801,3887680,INFY.NS
2020-01-21,655.1913452148438,662.0654839187372,653.687627373367,660.3039963649677,4448374,INFY.NS
2020-01-22,661.8077392578125,668.5100142587062,658.1988058125564,660.3040213594156,9733935,INFY.NS
2020-01-23,673.9663696289062,674.9545481250569,667.3930054333838,667.7366809288342,12528017,INFY.NS
2020-01-24,672.5914306640625,675.8136828071354,664.7291144567608,666.5765599969933,7540490,INFY.NS
2020-01-27,668.5958251953125,674.3529262503606,665.4165783317211,669.4121395706309,3741610,INFY.NS
