Price,Close,High,Low,Open,Volume,Ticker
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,
Date,,,,,,
2020-01-01,308.60260009765625,309.98667509616433,306.48033487116373,308.8332792640743,17379320,SBIN.NS
2020-01-02,313.0777282714844,313.58523929231825,307.587581446818,308.64869989536055,20324236,SBIN.NS
2020-01-03,307.9105529785156,311.8320986851032,306.34192343224976,311.8320986851032,21853208,SBIN.NS
2020-01-06,294.3465881347656,306.06509992915284,293.14706784800325,306.06509992915284,35645325,SBIN.NS
2020-01-07,293.79296875,301.72833738333424,291.02481886574924,299.3754212453518,50966826,SBIN.NS
2020-01-08,295.0847473144531,296.65337674438314,286.96485277605956,287.9798466331275,44527485,SBIN.NS
2020-01-09,304.6810607910156,305.78830391807867,299.88292276317344,301.6360788336655,40348407,SBIN.NS
2020-01-10,306.57257080078125,311.8320663490293,302.7433027867774,305.41917512432985,42377838,SBIN.NS
2020-01-13,305.1885070800781,309.5252862447705,303.6198776394681,308.18733594783396,23615129,SBIN.NS
2020-01-14,302.6510314941406,306.0650940276739,301.26695665499057,304.31191003749075,26296117,SBIN.NS
2020-01-15,299.19085693359375,303.75831535781407,297.4377010290209,303.5737607745639,32625740,SBIN.NS
2020-01-16,298.31427001953125,301.63605546149,297.4377061317448,298.96018291291193,26653623,SBIN.NS
2020-01-17,293.4239196777344,298.4988616847392,286.1344631540343,288.8103360350027,58396326,SBIN.NS
2020-01-20,289.7330017089844,296.60725138895805,289.1793661375981,296.19201767064965,30682902,SBIN.NS
2020-01-21,289.4562072753906,292.455036210801,287.8875777993918,289.5484564076811,30591772,SBIN.NS
2020-01-22,291.71685791015625,292.5011726800728,289.456219054605,292.5011726800728,24994911,SBIN.NS
2020-01-23,298.2220153808594,299.69833940863447,289.8714132834927,291.578444619568,33293610,SBIN.NS
2020-01-24,299.0063171386719,302.0051462308104,296.33044450365605,298.49883424824856,22706879,SBIN.NS
2020-01-27,291.76300048828125,297.114745510239,291.3938913206351,296.099751617364,23309355,SBIN.NS
2020-01-28,290.748046875,295.26935321427766,287.0110272279339,293.3777951838806,26488426,SBIN.NS
2020-01-29,291.9936828613281,294.99251184755826,291.1632153840342,293.2854804851197,23914114,SBIN.NS
2020-01-30,286.68804931640625,292.2704732964817,282.0283137464633,292.2704732964817,35802330,SBIN.NS
2020-01-31,293.839111328125,296.837940265822,284.75034722359743,289.45620749610634,92656638,SBIN.NS
2020-02-03,275.06182861328125,283.1355989959979,272.5243579215703,279.5831343957873,56060158,SBIN.NS
2020-02-04,282.5819396972656,283.7814599327591,274.1390890083295,279.4908336638644,51141567,SBIN.NS
2020-02-05,286.9648742675781,289.41006772518097,281.059493419289,283.18173042194576,35014841,SBIN.NS
2020-02-06,297.0686340332031,298.4988335640833,286.1344361981902,287.1494301357877,57757656,SBIN.NS
2020-02-07,295.7768249511719,299.88292550245234,293.7929896912022,296.6534170739644,37126803,SBIN.NS
2020-02-10,293.8852233886719,297.85289331992834,292.0397902747713,295.08474364907744,24816396,SBIN.NS
2020-02-11,299.28314208984375,300.62106429679994,296.23816034065493,296.23816034065493,30188757,SBIN.NS
2020-02-12,295.4538879394531,304.40422271095036,294.5772958424614,304.40422271095036,38930849,SBIN.NS
2020-02-13,302.1435546875,305.3730627100486,297.11473807447277,297.11473807447277,62516057,SBIN.NS
2020-02-14,294.7156677246094,306.24962488477,293.9313530059034,302.74331317171124,48205947,SBIN.NS
2020-02-17,289.9175720214844,296.3304356074742,287.56462775515206,296.14590917971327,36950692,SBIN.NS
2020-02-18,293.0086364746094,294.53114134722637,285.48850203693405,291.0248014745956,38588583,SBIN.NS
2020-02-19,295.5922546386719,298.9601644395869,292.7318276804288,297.3915350292061,39846727,SBIN.NS
2020-02-20,302.3280944824219,303.7583221368394,294.1159222078837,294.66955781091383,40150409,SBIN.NS
2020-02-24,297.9913330078125,305.6959939812919,296.97633913039095,300.5749281875442,45273936,SBIN.NS
2020-02-25,301.54376220703125,302.7894352017146,297.2992885348877,300.7133229302673,39050709,SBIN.NS
2020-02-26,302.83563232421875,305.2346732179108,299.1447655227491,299.7445257461721,43915281,SBIN.NS
2020-02-27,297.0686340332031,304.4964917346136,293.4238920351731,302.6510584513735,47010040,SBIN.NS
2020-02-28,279.5830993652344,290.3327409532382,277.829943647894,287.88754786123144,59705346,SBIN.NS
