Price,Close,High,Low,Open,Volume,Ticker
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,
Date,,,,,,
2020-01-01,605.529296875,606.19233129956,601.7405948043777,604.3453274779305,3673698,HDFCBANK.NS
2020-01-02,609.38916015625,609.9811449630853,605.7188543538712,605.7188543538712,6137166,HDFCBANK.NS
2020-01-03,600.6987915039062,608.5603376104458,598.4255468849254,607.2342686142049,10855550,HDFCBANK.NS
2020-01-06,587.6987915039062,597.5731439576414,585.3545548818191,596.720662743602,10890186,HDFCBANK.NS
2020-01-07,597.0047607421875,602.1431767378965,593.050314229868,596.1996846178865,14724494,HDFCBANK.NS
2020-01-08,595.4419555664062,597.7388448014235,587.2725661329978,590.5402756575533,11332110,HDFCBANK.NS
2020-01-09,602.1195068359375,604.2033046016976,598.1887051911852,599.0885335231053,9546316,HDFCBANK.NS
2020-01-10,607.4710083007812,609.4601116176075,603.871752817819,608.1340427397233,9214580,HDFCBANK.NS
2020-01-13,609.033935546875,614.0066076489296,604.2980573544421,607.4710726189669,7451568,HDFCBANK.NS
2020-01-14,610.6914672851562,612.1359331976332,605.0084136927392,610.4546733854722,7886290,HDFCBANK.NS
2020-01-15,608.2051391601562,609.9573909159484,603.3982113725496,609.2233645040944,11787448,HDFCBANK.NS
2020-01-16,609.8153686523438,611.4018762888768,605.8845666176381,607.163288419645,7150400,HDFCBANK.NS
2020-01-17,605.3162231445312,608.512940609759,602.3562995656167,607.0211275637845,16918814,HDFCBANK.NS
2020-01-20,594.3052978515625,617.9609835885461,593.1686756533786,617.9609835885461,22178450,HDFCBANK.NS
2020-01-21,589.3090209960938,591.9848038717975,586.4911964540704,591.9848038717975,14984804,HDFCBANK.NS
2020-01-22,587.6514282226562,594.3527073618872,584.5968099426914,591.0612951746068,18368310,HDFCBANK.NS
2020-01-23,589.5457763671875,590.4929519914465,582.9865967313965,587.248887040562,11508920,HDFCBANK.NS
2020-01-24,589.4037475585938,593.8791293563715,586.8226592396154,590.0904267767455,11831756,HDFCBANK.NS
2020-01-27,574.5567016601562,584.8809389292223,573.8700224675994,584.8809389292223,18888552,HDFCBANK.NS
2020-01-28,579.2925415039062,581.4710915111248,574.5803662813082,577.2088015490133,13412158,HDFCBANK.NS
2020-01-29,585.2835083007812,588.1960850182678,578.8427253732511,580.2871913795456,13788350,HDFCBANK.NS
2020-01-30,580.6423950195312,586.7516319136959,576.4510963819321,586.7516319136959,12111984,HDFCBANK.NS
2020-01-31,580.7606811523438,586.2069402792469,577.8954521394406,583.1996118168922,11178268,HDFCBANK.NS
2020-02-03,564.8955688476562,567.3344998460584,557.744346592457,566.8846145462204,13077010,HDFCBANK.NS
2020-02-04,582.4183349609375,584.4073807174176,567.3582188812532,567.3582188812532,20897704,HDFCBANK.NS
2020-02-05,589.4510498046875,591.0375573266558,581.234313274247,584.8335688880729,18020682,HDFCBANK.NS
2020-02-06,587.1542358398438,591.3691214293652,585.9228611888204,589.4511253356094,11827550,HDFCBANK.NS
2020-02-07,588.290771484375,590.5640161625739,583.270752115284,590.0904283388669,6815448,HDFCBANK.NS
2020-02-10,587.3909912109375,588.6459526743174,580.6423648340666,588.6459526743174,9219834,HDFCBANK.NS
2020-02-11,587.5330200195312,594.3526959818439,586.3254058019519,588.8117417811588,11613520,HDFCBANK.NS
2020-02-12,591.5111083984375,593.3581122126434,589.1668721260645,589.711451797723,6297930,HDFCBANK.NS
2020-02-13,587.9119262695312,596.6733008644125,584.2179181807978,596.6733008644125,9112140,HDFCBANK.NS
2020-02-14,577.46923828125,591.2269861835692,575.4091430350544,588.7642950823292,14688858,HDFCBANK.NS
2020-02-17,576.427490234375,583.9338464468528,575.1487682927701,580.1451434690955,10152690,HDFCBANK.NS
2020-02-18,574.5804443359375,577.0667804849288,569.9629629163823,576.3090515064869,10529116,HDFCBANK.NS
2020-02-19,581.1868896484375,582.5129585321005,574.8882069785566,578.9610502483681,10012268,HDFCBANK.NS
2020-02-20,576.4036865234375,582.512980564733,574.9829231562064,582.512980564733,11123414,HDFCBANK.NS
2020-02-24,573.0175170898438,575.2907615812694,568.3053417555244,572.5439293050475,16568084,HDFCBANK.NS
2020-02-25,568.447509765625,572.5677008658114,567.3582346048321,570.1997616562753,13886680,HDFCBANK.NS
2020-02-26,567.9501953125,570.5312258169903,561.5094124980089,567.1214166243225,13814786,HDFCBANK.NS
2020-02-27,568.044921875,569.4893879376268,559.3072491927961,565.937479073151,20655098,HDFCBANK.NS
2020-02-28,557.720703125,561.201562010712,554.1450919894718,556.7024777583055,24313056,HDFCBANK.NS
2020-03-02,558.6441650390625,568.8500053945262,552.2744321654279,568.4000622917009,14664898,HDFCBANK.NS
2020-03-03,559.6860961914062,561.367298227923,553.1505612982381,556.4656759635528,22369550,HDFCBANK.NS
2020-03-04,544.081298828125,558.833569448218,536.6222914393035,558.0521380643305,34288870,HDFCBANK.NS
2020-03-05,545.2653198242188,551.7298050681208,541.1924761730429,546.0467512820113,19549708,HDFCBANK.NS
2020-03-06,537.474853515625,540.3163805679825,521.4202141076019,532.7863223170319,23053566,HDFCBANK.NS
2020-03-09,524.40380859375,529.6606217571953,504.3710209743091,525.6824725647729,34420590,HDFCBANK.NS
2020-03-11,527.4821166992188,530.4183379455845,517.1578794969449,523.3145209195276,35538240,HDFCBANK.NS
2020-03-12,483.67523193359375,511.4748425848141,475.2217009586306,509.10690349877325,59000770,HDFCBANK.NS
2020-03-13,506.6441955566406,512.161446567919,435.3218634177746,464.139666299864,66342364,HDFCBANK.NS
2020-03-16,473.35101318359375,491.1105559493614,471.2198680517016,490.1633803351871,31986322,HDFCBANK.NS
2020-03-17,461.7954406738281,478.32366604285744,452.1342671386415,477.3764904665349,42676838,HDFCBANK.NS
