Price,Date,Close,High,Low,Open,Volume,Ticker,SMA_20,SMA_50,RSI,Returns,Volatility
Ticker,,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,,,,,,
0,2020-01-01,519.1378784179688,524.6992064121995,518.1223433733362,522.1845425843054,7642793,ICICIBANK.NS,,,,,
1,2020-01-02,522.861572265625,524.1189633218469,518.2674313473428,518.4125330945819,10264223,ICICIBANK.NS,,,,0.007172841748716019,
2,2020-01-03,521.1690063476562,523.0550339441114,518.6543422406796,520.3469205137261,9594690,ICICIBANK.NS,,,,-0.003237120507125102,
3,2020-01-06,508.4505310058594,519.6215359327784,506.6128509605454,519.6215359327784,12534334,ICICIBANK.NS,,,,-0.024403744633487934,
4,2020-01-07,505.742431640625,518.0256672258183,504.53344711196837,513.866772253729,16101835,ICICIBANK.NS,,,,-0.005326180621499144,
5,2020-01-08,508.69232177734375,510.0463489759186,498.1016059225975,499.06879350691327,16094310,ICICIBANK.NS,,,,0.005832791460960385,
6,2020-01-09,528.3745727539062,529.4385145307168,512.8995711925547,513.286469844567,18934019,ICICIBANK.NS,,,,0.03869185779685802,
7,2020-01-10,522.5231323242188,528.5680551877567,520.8305539224282,527.0205785476709,12335407,ICICIBANK.NS,,,,-0.011074417149162907,
8,2020-01-13,520.9271850585938,528.1327440329308,520.3468961479856,521.7009823159947,7901800,ICICIBANK.NS,,,,-0.003054309305936642,
9,2020-01-14,519.9599609375,521.2656994431668,516.6232113875967,518.6059338971962,13939440,ICICIBANK.NS,,,,-0.0018567357374236204,
10,2020-01-15,518.025634765625,519.3313733942234,513.2381035580961,517.542040984465,12353176,ICICIBANK.NS,,,,-0.00372014446725355,
11,2020-01-16,519.5247802734375,522.281240987898,515.7043779078715,516.381420952677,11249232,ICICIBANK.NS,,,,0.002893960080741609,
12,2020-01-17,514.5921020507812,520.3468795323953,513.1896683570775,516.9617232529095,18312609,ICICIBANK.NS,,,,-0.009494596619741724,
13,2020-01-20,517.3002319335938,526.1500215337655,513.5765835191719,515.5109585983402,19159996,ICICIBANK.NS,,,48.540713454827454,0.005262672847134553,
14,2020-01-21,513.6248779296875,522.5230141793963,512.8027922191036,515.4625576776752,13477994,ICICIBANK.NS,,,45.8635467299007,-0.007104876002410276,
15,2020-01-22,505.6939697265625,517.3969741034881,503.6628995535334,514.0601653628478,17527408,ICICIBANK.NS,,,37.88393346359416,-0.015441051522061766,
16,2020-01-23,510.3848571777344,512.8511735040806,500.0842866570384,504.29158771486703,17061293,ICICIBANK.NS,,,42.69809422067201,0.009276138795383249,
17,2020-01-24,516.3330688476562,519.7666320017483,509.7078575007106,511.88402956783887,17851868,ICICIBANK.NS,,,55.875957790560705,0.011654365497467234,
18,2020-01-27,519.6214599609375,527.1171627337569,514.0601320972327,520.8304442791342,38149166,ICICIBANK.NS,,,60.25724070238241,0.0063687400859686605,
19,2020-01-28,510.8685302734375,522.8616217547443,507.24157657360587,520.4436526215231,24009224,ICICIBANK.NS,516.1904052734375,,51.48126391216526,-0.016844819473310402,
20,2020-01-29,509.3210144042969,517.2519652760012,508.0636822126436,514.108605280642,16400827,ICICIBANK.NS,515.6995620727539,,32.77974125495703,-0.0030291861358388017,0.013221715838217745
21,2020-01-30,514.7372436523438,516.4298219231634,506.9513954130622,510.3365519547016,14319317,ICICIBANK.NS,515.2933456420899,,42.9074607214859,0.010634215150894022,0.013354545719710554
22,2020-01-31,508.4022216796875,515.2692305146738,505.2588617563225,512.6094644256727,16292578,ICICIBANK.NS,514.6550064086914,,39.49723009269874,-0.01230729279992604,0.013597092950912217
23,2020-02-03,498.6335144042969,502.1154248976805,485.52813530756305,487.46251034862905,22531888,ICICIBANK.NS,514.1641555786133,,34.41697071217784,-0.01921452515120059,0.013172946638768354
24,2020-02-04,513.3831787109375,517.1068864806173,499.69750925885074,502.93756418436715,17781475,ICICIBANK.NS,514.5461929321289,,47.142885046780926,0.02958017036673044,0.01477020334987733
25,2020-02-05,521.4107666015625,522.6681575991328,508.45048929820246,511.69054386593217,18782476,ICICIBANK.NS,515.1821151733399,,51.074364073821684,0.015636639889101245,0.015103115834437596
26,2020-02-06,523.8287963867188,529.051633197627,518.6543661832312,522.6198118501611,15296851,ICICIBANK.NS,514.9548263549805,,55.416935125925285,0.004637475748566544,0.012337146558007533
27,2020-02-07,518.8477783203125,523.9738605813478,517.590446298918,523.2001223399084,8297149,ICICIBANK.NS,514.7710586547852,,50.88400452130571,-0.009508866447901387,0.012270372134711844
28,2020-02-10,516.4297485351562,524.4573925294891,513.0929400403761,520.9755413372889,12536053,ICICIBANK.NS,514.5461868286133,,51.62557596432682,-0.00466038380849243,0.0122947046091426
