Price,Date,Close,High,Low,Open,Volume,Ticker,SMA_20,SMA_50,RSI,Returns,Volatility
Ticker,,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,,,
0,2020-01-01,633.151123046875,635.857836165516,629.456283947449,631.5614994346679,2112415,INFY.NS,,,,,
1,2020-01-02,631.3037109375,636.5452206149837,628.0385056083046,634.9126441731436,5658200,INFY.NS,,,,-0.0029178059425762903,
2,2020-01-03,641.013427734375,642.7319623931803,630.6163140268093,630.6163140268093,7882938,INFY.NS,,,,0.015380420910968251,
3,2020-01-06,634.86962890625,647.7156856371781,632.8503717126638,641.0993168830549,6519403,INFY.NS,,,,-0.00958450878297501,
4,2020-01-07,625.4608154296875,638.0920053436301,623.0548245455798,634.1393959406382,7899363,INFY.NS,,,,-0.014820071788237743,
5,2020-01-08,617.125732421875,626.4058079768749,608.6189659032445,622.9257861994387,8639443,INFY.NS,,,,-0.013326307263687442,
6,2020-01-09,625.1599731445312,628.5540897917724,613.7746803355894,620.1332799391682,13521186,INFY.NS,,,,0.013018806866351706,
7,2020-01-10,634.2681884765625,638.3497082159341,627.6947725496843,636.244492808629,9341405,INFY.NS,,,,0.014569415386940454,
8,2020-01-13,664.6862182617188,668.0803346309402,648.7468201239355,653.0431566810477,36952038,INFY.NS,,,,0.047957678372955836,
9,2020-01-14,666.4907836914062,667.607820828844,659.2299636297804,661.5929489936188,11414418,INFY.NS,,,,0.0027149132629931128,
10,2020-01-15,659.5306396484375,664.944013428589,654.8906274563863,664.944013428589,6047430,INFY.NS,,,,-0.010442971175714577,
11,2020-01-16,659.0579223632812,663.7838918196021,653.2578689396148,662.2372213957256,5740586,INFY.NS,,,,-0.0007167480276704108,
12,2020-01-17,659.7885131835938,664.1278559116711,654.9766362764015,662.2374569675866,3762957,INFY.NS,,,,0.001108538104955592,
13,2020-01-20,660.3040161132812,665.416667416314,655.5780456130107,663.0106768415801,3887680,INFY.NS,,,64.52199845794371,0.000781315405447236,
14,2020-01-21,655.1913452148438,662.0654839187372,653.687627373367,660.3039963649677,4448374,INFY.NS,,,61.17641305686768,-0.007742904440490861,
15,2020-01-22,661.8077392578125,668.5100142587062,658.1988058125564,660.3040213594156,9733935,INFY.NS,,,64.7547091381666,0.010098414900152841,
16,2020-01-23,673.9663696289062,674.9545481250569,667.3930054333838,667.7366809288342,12528017,INFY.NS,,,65.57036934497287,0.018371846761310318,
17,2020-01-24,672.5914306640625,675.8136828071354,664.7291144567608,666.5765599969933,7540490,INFY.NS,,,68.66482001821683,-0.0020400705833449884,
18,2020-01-27,668.5958251953125,674.3529262503606,665.4165783317211,669.4121395706309,3741610,INFY.NS,,,72.55134588703203,-0.005940613107135562,
19,2020-01-28,668.5099487304688,671.7751539292527,663.354345012753,671.0877505893266,5121009,INFY.NS,650.643667602539,,79.40000013968753,-0.0001284430168535522,
20,2020-01-29,678.5634155273438,681.2271232506934,673.8803981274411,675.8996553584789,6832757,INFY.NS,652.9142822265625,,79.86524217496672,0.015038619568739309,0.014590853504167495
21,2020-01-30,670.8300170898438,678.5634230837039,668.5099848025825,678.5634230837039,3859680,INFY.NS,654.8905975341797,,70.76608947359298,-0.011396721751481431,0.014908962840773607
22,2020-01-31,666.74853515625,674.4819415896598,663.0106905794573,670.7011441328964,6092028,INFY.NS,656.1773529052734,,51.671354247561645,-0.006084226748379273,0.014753597494925342
23,2020-02-03,659.4017944335938,679.6375303151891,656.9098981061286,671.9470769378582,6416745,INFY.NS,657.4039611816406,,44.728447845465354,-0.011018757950378655,0.01481658824252014
24,2020-02-04,676.9737548828125,678.7352948915391,661.7217595518065,661.7217595518065,5771311,INFY.NS,659.9796081542969,,61.20303192331756,0.026648335806111145,0.01523453755337185
25,2020-02-05,674.13818359375,675.3841317304477,665.4166515278996,671.0877950146051,6310409,INFY.NS,662.8302307128906,,59.400155378871055,-0.004188598551436273,0.014816536882253121
